IdCFC;Placa;AnoFabricação;Categoria;PessoasComDeficiência;CodMarca;Marca
0000370381;DTA4689;2007;D - Oníbus;Não;400112;MARCOPOLO/VOLARE W8 ON
0003400101;DVS4990;2007;D - Oníbus;Não;400112;MARCOPOLO/VOLARE W8 ON
0031510122;DBL3387;2007;D - Oníbus;Não;400121;MARCOPOLO/VOLARE V8 MO
0031510122;EMU5F72;2011;D - Oníbus;Não;464431;VW/MASCA GRANMICRO E O
0000132047;DTA4I55;2007;D - Oníbus;Não;400112;MARCOPOLO/VOLARE W8 ON
0000522082;FSN0388;2014;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0034150122;DTC3310;2007;D - Oníbus;Não;400136;MARCOPOLO/VOLARE W9 ON
0034150122;ECT5833;2008;D - Oníbus;Não;411313;VOLKS/COMIL SVELTO U
0000880913;DTD3980;2007;D - Oníbus;Não;400045;VOLKS/BUSSCAR MICRUSS O
0003250703;EOB3G45;2013;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000581074;DKI9998;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000251130;DBA3164;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000461032;EHE4098;2012;D - Oníbus;Não;400123;MARCOPOLO/VOLARE V8 ESC
0000671088;CZA8401;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000581767;EWJ6E55;2012;D - Oníbus;Não;415705;VW/NEOBUS THUNDER
0000042257;DAJ8562;2008;D - Oníbus;Não;400045;VOLKS/BUSSCAR MICRUSS O
0000251690;EOB4430;2012;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0032380122;ELW3477;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0034360122;DTD2972;2007;D - Oníbus;Não;400136;MARCOPOLO/VOLARE W9 ON
0000101487;ETL1784;2010;D - Oníbus;Não;417547;M.BENZ/LO915 NEOBUS TH
0000072110;EHE3009;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000850710;EGI4543;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0003070157;DTB6401;2006;D - Oníbus;Não;400112;MARCOPOLO/VOLARE W8 ON
0003070157;FVZ6C29;2012;D - Oníbus;Não;409427;AGRALE/IBRAVA APOLLO
0000131613;CPV4909;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0001390661;EMU8H09;2011;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0001330164;EHE4439;2013;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0012371690;DMN5H22;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000191340;INR4312;2007;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000130717;DKI2317;2009;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0026830122;GBY5A22;2013;D - Oníbus;Não;409428;VW/IBRAVA APOLLO
0000400444;EWU9A86;2013;D - Oníbus;Não;415525;AGRALE/MAXIBUS ASTOR
0000520213;GGG5868;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000220633;EFW6233;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0003220045;DMN5887;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0001421669;EJY0D98;2012;D - Oníbus;Não;411354;VW/COMIL PIA URB O
0000910136;DKI1919;2008;D - Oníbus;Não;400123;MARCOPOLO/VOLARE V8 ESC
0000550213;ELQ1389;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000160409;EMF9888;2009;D - Oníbus;Não;400112;MARCOPOLO/VOLARE W8 ON
0000311711;DBS1I39;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0034810122;EZL6044;2011;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000042320;ELW2H06;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0005381018;FVY6A99;2013;D - Oníbus;Não;409428;VW/IBRAVA APOLLO
0000881907;EYW6400;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000280339;EFV6065;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000280339;INR4980;2007;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000372047;FSE7679;2014;D - Oníbus;Não;400163;MARCOPOLO/VOLARE W7 ON
0000461599;CUB0770;2008;D - Oníbus;Não;464402;AGRALE/MASCA GRANMICRO O
0000280402;ELQ8F15;2010;D - Oníbus;Não;409420;VW/9.150 IBRAVA APOLLO
0000371389;CUB0070;2008;D - Oníbus;Não;415768;VW/9150 NEOBUS THUNDER
0003130598;HMN2879;2005;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000430234;DBB3310;2004;D - Oníbus;Não;415705;VW/NEOBUS THUNDER
0000160290;DBS1370;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0001420087;EOB3600;2011;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0001150178;EFV4514;2010;D - Oníbus;Não;415768;VW/9150 NEOBUS THUNDER
0002051081;FZL3G26;2014;D - Oníbus;Não;409428;VW/IBRAVA APOLLO
0000491074;DKI9966;2010;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000251004;DTE6282;2007;D - Oníbus;Não;417544;VW/8150 NEOBUS TH WAY E
0000131837;EMU6G97;2011;D - Oníbus;Não;411333;VW/COMIL PIA O
0000700710;EGI4F96;2012;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
0000191683;DBS5499;2013;D - Oníbus;Não;400122;MARCOPOLO/VOLARE V8 ON
