IdCFC;Situacao;Média Aprovados;NomeFantasia;RazaoSocial;CNPJ;Endereco;Número;Bairro;Municipio;Telefone;Tipo;PessoaComDeficiencia;Recliclagem;Simulador;Média das avaliações: item Ensino;Média das avaliações: item Transparência;Média das avaliações: item Instalações;Média das avaliações: item Atendimento;Média das avaliações: item Agenda;Média das avaliações: item Preço;Média das avaliações: item Localização;Quantidade de avaliações;Nota média das avaliações
0004150122;Credenciado;55;A E Santa Clara;Autoescola Santa Clara Ltda;62560255000166;Av Sapopemba;3495;Vl Regent Feijo;Sao Paulo;(011) 2216-0328;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0002530535;Credenciado;53;A E Santa Ines;Centro De Formacao De Condutores Davoli Ltda;05168979000125;R Fauze Dimas Lumumba Goncalv;758;Santa Ines I;Sao Jose Dos Campos;(012) 3902-4051;Pratico;Nao;Nao;Nao;4.9;5.0;4.8;5.0;5.0;4.9;5.0;11;4.9
0000071767;Credenciado;56;A E Santa Tereza;Centro De Formacao De Condutores Santa Tereza Ltda;51441343000122;Lrg Tancredo De Almeida Neves;45;Jd Sta Tereza;Embu Das Artes;(011) 4782-4014;Pratico;Nao;Nao;Sim;4.0;4.2;4.2;4.5;4.5;4.2;4.5;4;4.3
0018670122;Bloqueado;0;A E Santana;Domel Auto Escolas & Cia Ltda;00000000000000;Av Maria Amalia Lopes Azevedo;576;Tremembe;Sao Paulo;(011) 2222-2222;Teorico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000400171;Credenciado;61;A E Sao Cristovao;Centro De Formacao Sao Cristovao S/c Ltda;54143144000126;Av Antonio Pires Pimentel;1037;Centro;Braganca Paulista;(011) 4333-3104;Pratico;Nao;Nao;Sim;5.0;4.5;5.0;5.0;5.0;5.0;5.0;2;4.9
0000070017;Credenciado;85;A E Sao Cristovao;Cichetto E Cichetto Ltda;47580642000170;Av Gloria;164;Vl Gloria;Assis;(018) 3322-2008;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;4.5;5.0;2;4.9
0000160647;Credenciado;80;A E Sao Cristovao;Auto Escola Sao Cristovao Ltda - Me;48318331000109;Rua Quatro;2157;Centro;Jales;(017) 3632-4645;Pratico;Nao;Nao;Nao;4.5;4.5;4.5;4.5;3.5;4.2;4.5;4;4.3
0000161277;Credenciado;64;A E Sao Cristovao;Mauricio Frade De Gouveia Auto Escola Me;60377892000176;R Prof Thomaz Galhardo;958;Centro;Ubatuba;(012) 3832-2492;Pratico;Nao;Nao;Nao;4.7;4.5;4.4;4.6;4.2;3.9;4.6;10;4.4
0000670143;Baixada;0;A E Sao Cristovao;Auto Escola Sao Cristovao Sc Ltda;00000000000000;Rua General Telles;374;Estacao;Franca;(016) 3722-7804;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000700661;Bloqueado;100;A E Sao Cristovao;Auto Escola Sao Cristovao Sc Ltda;00000000000000;Rua Itacolomi;133;Jardim Ipiranga;Americana;(000) 0;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
