IdCFC;Situacao;Média Aprovados;NomeFantasia;RazaoSocial;CNPJ;Endereco;Número;Bairro;Municipio;Telefone;Tipo;PessoaComDeficiencia;Recliclagem;Simulador;Média das avaliações: item Ensino;Média das avaliações: item Transparência;Média das avaliações: item Instalações;Média das avaliações: item Atendimento;Média das avaliações: item Agenda;Média das avaliações: item Preço;Média das avaliações: item Localização;Quantidade de avaliações;Nota média das avaliações
0000281844;Credenciado;70;Auto Esc Lideranca;Auto Moto Escola Lideranca Ltda Me;23651640000167;Av Mitsuke;731;Jd Cruzeiro;Mairinque;(011) 4718-1652;Teorico e pratico;Nao;Sim;Sim;4.6;3.1;4.2;4.2;3.2;3.6;4.4;8;3.9
0000550570;Credenciado;73;Auto Esc Luiziania;Auto Escola Luiziania Ltda Me;11820349000196;R Melchiades Ribeiro;52;Centro;Luiziania;(018) 3603-1215;Teorico e pratico;Nao;Nao;Sim;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0000040325;Credenciado;89;Auto Esc Monte Carlo;Centro De For De Cond Cfc Ab Monte Carlo Sc Ltda;72780885000108;R Bento Da Cruz;525;Centro;Birigui;(018) 3642-3812;Teorico e pratico;Nao;Sim;Sim;4.8;4.8;4.6;4.6;4.8;4.2;4.0;5;4.5
0000311179;Credenciado;80;Auto Esc P Ferreira;Centro De Form De Cond Cegantini & Fortunato Ltda;15660973000124;Av Dr Jose F Azambuja;360;Vila Nova;Porto Ferreira;(019) 3581-2472;Teorico e pratico;Nao;Nao;Sim;4.8;4.4;4.4;4.7;4.3;4.7;4.7;9;4.6
0000340248;Credenciado;80;Auto Esc Palmeiras;Auto Escola Jardim Das Palmeiras Ltda Me;06963955000120;Av Onze;506;J Das Palmeiras;Rio Claro;(019) 3525-7162;Pratico;Nao;Nao;Nao;5.0;5.0;4.7;5.0;5.0;4.7;4.7;3;4.9
0000131494;Credenciado;76;Auto Esc Pauliceia;Centro De Formacao De Condutores De Pauliceia Ltda;10383736000140;Av Ezequiel J De Oliveira;1875;Centro;Pauliceia;(018) 3876-1188;Teorico e pratico;Nao;Nao;Sim;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0000250094;Credenciado;67;Auto Esc Prudentina;F & F Ss Ltda Me;51398428000175;Av Getulio Vargas;312;Bosque;Presidente Prudente;(018) 3223-4569;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000521046;Credenciado;64;Auto Esc Real Brasil;Centro De Formacao De Condutores Real Brasil Ltda;16604477000116;Rua Santa Cruz;54;Centro;Aracariguama;(011) 4136-4087;Teorico e pratico;Nao;Nao;Nao;4.9;4.4;4.4;4.7;4.4;4.6;4.7;7;4.6
0000520178;Credenciado;80;Auto Esc S Cristovao;Santinon & Santinon Sc Ltda;01317209000146;Avenida Sallum;929;Vila Prado;Sao Carlos;(016) 2741-433;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1;5.0
0000041375;Credenciado;86;Auto Esc S Cristovao;Cfc Sao Cristovao Ltda;02944415000149;Av Xv De Novembro;735;Centro;Santa Cruz Das Palmeiras;(019) 3672-1112;Pratico;Nao;Nao;Nao;4.0;4.5;3.5;4.5;4.5;4.0;4.5;2;4.2
